idx,license,mapping_type,map_name
0,MIT,spdx_id,MapExactID
1,Apache-2.0,spdx_id,MapExactID
2949130,ISO-permission,spdx_id,MapFuzzyMatch
2555918,CC0-1.0,spdx_id,MapFuzzyMatch
15,GPL-3.0,spdx_id,MapExactID
16,,unknown,MapNA
3538962,Apache-1.0,spdx_id,MapFuzzyMatch
21,BSD-3-Clause-No-Nuclear-License,spdx_id,MapFuzzyMatch
34,MIT,spdx_id,MapFuzzyMatch
5701671,MIT,spdx_id,MapFuzzyMatch
3735596,ISO-permission,spdx_id,MapFuzzyMatch
2293811,ISO-permission,spdx_id,MapFuzzyMatch
2162743,ISO-permission,spdx_id,MapFuzzyMatch
2687036,MIT,spdx_id,MapFuzzyMatch
65,Apache-1.1,spdx_id,MapFuzzyMatch
76,AGPL,license_family,MapLicenseFamily
1441870,GD,spdx_id,MapFuzzyMatch
5570638,ISO-permission,spdx_id,MapFuzzyMatch
5898320,MIT,spdx_id,MapFuzzyMatch
6094927,Apache-1.0,spdx_id,MapFuzzyMatch
1441882,MIT,spdx_id,MapFuzzyMatch
720991,MIT,spdx_id,MapFuzzyMatch
5308513,copyleft-next-0.3.0,spdx_id,MapFuzzyMatch
2359399,BUSL-1.1,spdx_id,MapFuzzyMatch
4128871,ISO-permission,spdx_id,MapFuzzyMatch
5439602,MIT,spdx_id,MapFuzzyMatch
655476,NIST-Software,spdx_id,MapFuzzyMatch
3735671,MIT,spdx_id,MapFuzzyMatch
6160506,MIT,spdx_id,MapFuzzyMatch
123,,unknown,MapNA
6160507,BSD-1-Clause,spdx_id,MapFuzzyMatch
3080320,BSD-3-Clause,spdx_id,MapFuzzyMatch
196739,,unknown,MapNA
2490506,Apache-1.0,spdx_id,MapFuzzyMatch
2556044,LGPL-2.1,spdx_id,MapFuzzyMatch
327822,MIT,spdx_id,MapFuzzyMatch
2490513,MIT,spdx_id,MapFuzzyMatch
2883731,MIT,spdx_id,MapFuzzyMatch
3276951,MIT,spdx_id,MapFuzzyMatch
327833,MIT,spdx_id,MapFuzzyMatch
2359452,BUSL-1.1,spdx_id,MapFuzzyMatch
6291612,MIT,spdx_id,MapFuzzyMatch
3080350,ISO-permission,spdx_id,MapFuzzyMatch
1048736,MIT,spdx_id,MapFuzzyMatch
1441952,MIT,spdx_id,MapFuzzyMatch
5439646,MIT,spdx_id,MapFuzzyMatch
5439649,MIT,spdx_id,MapFuzzyMatch
5898401,QPL-1.0,spdx_id,MapFuzzyMatch
6488225,MIT,spdx_id,MapFuzzyMatch
2228394,MIT,spdx_id,MapFuzzyMatch
5439658,ISO-permission,spdx_id,MapFuzzyMatch
3276988,MIT,spdx_id,MapFuzzyMatch
2162878,BUSL-1.1,spdx_id,MapFuzzyMatch
6619328,BSD-1-Clause,spdx_id,MapFuzzyMatch
200,BSD-2-Clause,spdx_id,MapExactID
203,GPL-3.0,spdx_id,MapExactID
5701837,MIT,spdx_id,MapFuzzyMatch
1048783,GPL-2.0,spdx_id,MapFuzzyMatch
1442001,Apache-2.0,spdx_id,MapFuzzyMatch
4456658,MIT,spdx_id,MapFuzzyMatch
5439698,MIT,spdx_id,MapFuzzyMatch
327894,MIT,spdx_id,MapFuzzyMatch
2293978,ISO-permission,spdx_id,MapFuzzyMatch
7405796,MIT,spdx_id,MapFuzzyMatch
196840,MIT,spdx_id,MapFuzzyMatch
393449,MIT,spdx_id,MapFuzzyMatch
5505261,ISO-permission,spdx_id,MapFuzzyMatch
65779,MIT,spdx_id,MapFuzzyMatch
