idx,license,mapping_type,map_name
0,MIT,spdx_id,MapExactID
1,Apache-2.0,spdx_id,MapExactID
15,GPL-3.0,spdx_id,MapExactID
16,,unknown,MapNA
123,,unknown,MapNA
196739,,unknown,MapNA
200,BSD-2-Clause,spdx_id,MapExactID
203,GPL-3.0,spdx_id,MapExactID
300,Apache-2.0,spdx_id,MapExactID
316,MIT,spdx_id,MapExactMatch
5898567,LGPL-2.0,spdx_id,MapExactID
382,MIT,spdx_id,MapExactID
328073,BSD-3-Clause-Clear,spdx_id,MapExactID
563,Apache-2.0,spdx_id,MapExactMatch
66318,EUPL-1.2,spdx_id,MapExactID
866,AGPL-3.0,spdx_id,MapExactID
910,EPL-2.0,spdx_id,MapExactMatch
3474467,,unknown,MapNA
5440573,WTFPL,spdx_id,MapExactMatch
3671239,Apache-2.0,spdx_id,MapExactMatch
1253,MIT,spdx_id,MapExactMatch
1257,WTFPL,spdx_id,MapExactID
2557181,Apache-2.0,spdx_id,MapExactMatch
1390,MPL-2.0,spdx_id,MapExactID
7603601,Apache-2.0,spdx_id,MapExactMatch
1967532,BSD-3-Clause,spdx_id,MapExactMatch
7210483,MPL-2.0-no-copyleft-exception,spdx_id,MapExactMatch
1575,MPL-2.0,spdx_id,MapExactID
3933762,MIT,spdx_id,MapExactMatch
1650,BSD-2-Clause,spdx_id,MapExactID
1651,BSD-3-Clause,spdx_id,MapExactID
3344303,Apache-2.0,spdx_id,MapExactMatch
2116,MIT,spdx_id,MapExactID
5245065,CC-BY-NC-SA-3.0,spdx_id,MapExactID
2209,GPL-2.0,spdx_id,MapExactID
7604521,EPL-1.0,spdx_id,MapExactMatch
264579,Apache-2.0,spdx_id,MapExactMatch
1116587,BSD-2-Clause-Patent,spdx_id,MapExactID
2624035,GPL-3.0,spdx_id,MapExactID
6032123,GPL-2.0,spdx_id,MapExactID
2822,ISC,spdx_id,MapExactID
2987,Unlicense,spdx_id,MapExactMatch
6228975,BSD-2-Clause,spdx_id,MapExactID
461886,AGPL-3.0,spdx_id,MapExactID
1707088,EUPL-1.1,spdx_id,MapExactID
7670975,AGPL-3.0-only,spdx_id,MapExactMatch
199877,MIT,spdx_id,MapExactMatch
3394,Unlicense,spdx_id,MapExactID
3083593,ISC,spdx_id,MapExactID
3425,BSD-3-Clause,spdx_id,MapExactID
3495,GPL-3.0,spdx_id,MapExactID
3804685,Apache-2.0,spdx_id,MapExactMatch
3411611,MPL-2.0,spdx_id,MapExactID
2363193,MIT,spdx_id,MapExactMatch
3411774,EUPL-1.2,spdx_id,MapExactMatch
4032,GPL-2.0,spdx_id,MapExactID
135152,MirOS,spdx_id,MapExactID
462834,NIST-Software,spdx_id,MapExactMatch
2166982,,unknown,MapNA
4570,MIT-0,spdx_id,MapExactID
7148188,CECILL-C,spdx_id,MapExactID
70454,GPL-3.0-or-later,spdx_id,MapExactID
4968,GPL-3.0,spdx_id,MapExactID
6624117,CC-BY-NC-ND-4.0,spdx_id,MapExactID
1381334,EUPL-1.1,spdx_id,MapExactMatch
70670,Apache-2.0,spdx_id,MapExactMatch
201759,BSD-4-Clause,spdx_id,MapExactID
2626643,CC-BY-NC-4.0,spdx_id,MapExactID
71025,AGPL-3.0-only,spdx_id,MapExactMatch
529828,Apache-2.0,spdx_id,MapExactMatch
1316337,,unknown,MapNA
7280117,NPOSL-3.0,spdx_id,MapExactMatch
5652,CC0-1.0,spdx_id,MapExactMatch
1119770,MIT,spdx_id,MapExactMatch
5696,GPL-3.0,spdx_id,MapExactID
